labels,sentences
1,想 哭 下午 崩溃 差点 吞药 搂 垃圾桶 干呕 几下 才 勉强 恢复 稳定 活着 真的 好累 好 累 我生
1,想 睡觉 睡不着 入睡 困难
1,想 说 都 普通人 飞 憋 装 最烦 装逼 人
1,想 说 再见
1,想 死 想要 都 得不到
1,想 死
1,想 死 人 拉 不了 上岸 更 劝 不住 想 自心
1,想 亖
1,想
1,想 逃离 世界
1,想 吐
1,想 吐 头晕 都
1,想 退出 世界 舞台 也许 我本 不该 出生 只配 一个 人待 讨厌 宿命
1,想 问问 症状 都 晨 重夜 轻 发病 次数 好像 都 早上 晚上 不 刺激 没什么
1,想 问问 自残 肿 疤痕 抹 药 去除
1,想 问 进口 氟 西汀 钱 一盒 情绪 不 稳定 想 吃 回去 氟西汀 国产 效果 不太好 想 吃 进口
1,想 问 一疼 发晕 想 吐 冷汗 为啥
1,想 问 别人 讲 大道理 怕 条数 太 多发 小 作文 那种 特别 兴奋 感觉 算是 双相 躁狂 期 说 道理 词 都 想 不 认知 居然 还 说 这样的话
1,想 问 自伤 久 会 痛觉 变得 越来越 不 敏感 情况 几天 蚊子 叮 几个 包 挠 缓解 痒 感挠 一点 都 不痛 去 看 才 发现 指甲 割出 很多 伤 对此 一点 感觉 都
1,想想 委屈
1,想要 看清 点 总 痛苦
1,想要 抛弃 东西 自由 活着 亦 死去
1,想要 厕所 里 偷偷 哭 进去 一只 特别 特别 大 蟑螂 忍不住 大声 点 哭 奶奶 敲门 快要 疯掉
1,想 住院 给家 真的 不
1,想 自残 想 死 春天 真的 很 痛苦 总有一天 我会 离开 破烂不堪 世界 下辈子 不 世界 总要 鼓起勇气 去 死
1,向往 死亡
1,鬼压床 累 起不来
1,小时候 泥巴路 很烂 走 开心 水泥路 很 干净 走 很 累
1,小 四年 前 两年 家里 都 不 不 上学 误会 话语 冷落 心事 都 床 浑浑噩噩 小 两年 结尾 感觉 好多 去年 感觉 很 不好 看病 吃药 休学 家里 躺 小 半年 感觉 世界 隔绝 想过 很多 放弃 去年 下半年 值得 保护 朋友 女朋友 去 事情 安慰 心疼 拥有 从未 感受 过得 像是 经历 奖励 半夜 散步 发现 生活 小 美好 日出 日落 快 时代 很难 发现 小 美好 幸运 幸运 活到 不仅仅 身边 好多 好 兄弟 哥们 都 很 好 情况 变 糟糕 希望 陌生人 交心 朋友 很 做 朋友 走走 发现 小 美好 好好 活下去
1,笑 死 都 幻想 不 哥哥 对话 说 说 还 哭 真的 幻觉 感觉 挺 好 再 梦见 说 很 奇怪
1,心好 痛 爱
1,心慌 好 难受 梦里 难过
1,好多好多 难过 张口 却 声音
1,长满 荆棘 刺伤
1,真的 一股 无名之火 冲上来 想 东西 都 砸 楼上 跳下去 笑 死 努力 找事 干 缓解 症状 一点 屁用 都
1,心理医生 看 放下 一点 不 想要 永远 忘记 希望 我活 痛苦 里 依赖 想 死 感受 感觉 病
1,心理 扭曲 扳 不 回来
1,心情 差 到极点 想 死
1,心情 好 差一点 饭 不想 吃 饿死 算了
1,心情 好 烦躁 莫名其妙 生气
1,心跳 很快 很快
1,心 庝 就让 痛苦 死去
1,心脏 痛 头痛 唯二 两个 躯体 症状
1,新 吃药 药
1,新年快乐 特别 不 喜欢 过节 希望 早日康复 脱离 抑郁 情绪 真的 希望
1,许久 没 吃 佐匹 克隆 都 过期
1,学医 大概 清醒 看着 生病
1,烟瘾 太重 感觉 不 抽烟 生活 没什么 太多 钱 买 烟 想 省点 钱
1,盐酸 舍曲林 乐元 文拉法辛 盐酸 丁螺 环酮片 劳 拉西 泮片 佳 普乐 米 氮 平片 谷维素 安神 补脑 颗粒 米 普仑 艾司唑仑 氯氮平 阿米 替林 奥沙西 泮 枸橼酸 坦度 螺酮 胶囊
1,盐酸 舍曲林 副作用 真的 好 厉害
1,眼睛 肿 睁不开
1,阳光 好 灿烂 呐 开心 不
1,不 算了吧 真的 累 机会 父母 机会 世界 机会 去试 证明 活着 意义 哈哈哈 想 就算 改不了 废物 命运 还 犹豫 反反复复 都 会烦 道歉
1,疯 想 哭哭 不 好 难过 不
1,过年 感受 不到 一点 快乐 想 哭
1,强迫症 两种 都 去 死 活得 一点 都 不 开心
1,不用 吃 东西 好
1,怎样才能 快乐
1,中考 确诊 后 状况 越来越 糟糕 感觉 人生 完 感觉 人 理解 感觉 孤身一人
1,自闭
1,不 不想 吃 缩 床上 哭 发现 我担 提前 直播 爬起来 听 直播 听到 温柔 唱歌 真的 绷 不住
1,也许 一辈子 都 得不到 救赎
1,也许 死 好了吧
1,夜晚 重度 抑郁 患者 最 难熬 白天 压抑 痛苦 会 晚上 放大 很多 倍 人 痛不欲生 一个 死寂 夜晚 聆听 血液 地下 隐秘 声响
1,夜晚 才 真实 自残 开心 记忆力 差 症状 喘 不 气 随便 每一秒 都 死 回头 说不定 走 天堂地狱 向往 地方 阎王爷 过断 时间 找 发微博 不 不用 伤心 不用 难过 结束 痛苦 我会 天上 保 平安
1,夜晚 盖 不住 心事 生活 找 不到 前途 总问 烂透 生活
1,说 焦虑 制造 焦虑 每次 没 生活费 都 好 害怕 学校 饭 好 贵 外卖 贵好 难过 不 每次 朋友 出去玩 都
1,袋子 药 当饭 吃
1,犯病 只能 躺 没 办法 工作 工作 地方 说 躺 躺 一颗 想 工作 心 奈何 真的 没 办法 不 工作 没 钱 手上 钱 不 只能 紧巴
1,一点点 小事 情绪 波动
1,一点 不好玩 好像 感受 孤立 心情 不好 无处 宣泄
1,一分钟 没 睡 半个 小时 就要 去 考试 有时候 想 全世界 安眠药 全吃 睡个够 身边 劳拉 真的 活不了 发现 考完试 马上 去 开 马上 我怕 考试 睡着 提前 半个 小时 起床 弄 一杯 咖啡 喝 中途 手机 掉下来 舍友 弄醒 好像 愧疚 天杀 失眠 我要 拼
1,一个 懂 都 都 说 不懂事 不争气 说 作 还 告诉 动脉 想 割 救 不了 真的 好累 不 一天到晚 行尸走肉 真的 不 还 撑 多久
1,一个 人 死 世界 来说 一座 坟墓
1,一个 人命 再大 想 死 活不了
1,一个 人 厕所 哭 一遍 一遍 祈祷 妈妈 好 都 关心 会 好受
1,一个 人 家里 好孤单 想 去 死
1,一个 想 死 人 救 不活 一个 想活 人 轻易 杀死
1,一晃 好多年 还 活着
1,干活 烦躁
1,一口气 憋 说不出 哭 不了
1,一路 跌跌撞撞 酿 酿跄跄 走过 荆棘 真的 辛苦 工作 回家 感觉 力气 都 抽干 都 不想 做 想 静静地 放空
1,一路 走来 苦 都 没 说 心疼 烂透 生活 耗尽 期待 都 说 先苦后甜 却 苦 一年 一年
1,没药 吃 睡不着 昨晚 梦见 开车 刹 不住 车 失控 感觉 恐惧 情绪
1,一年 痛苦 结束 痛苦 还
1,一年四季 都 衣袖 遮盖 伤疤
1,一日三餐 按时 吃饭 混吃 死 负 能量 爆棚
1,天天 昏昏沉沉
1,想到 要死 掉 轻松 好多
1,想到 垃圾 废物 最差 最烂 死不足惜 反而 会 好受 一点
1,心理咨询 谈后 感 预约 学校 心理咨询 师 从没 做过 先 问 学校 里 老师 试试 水 不 说 想 很多 可到 忘记 老师 会 问 段时间 近况 家庭 学校 想到 父母 带给 高压 难过 流泪 抱歉 很 泪崩 小女孩 断断续续 说 很 久 家里 情况 老师 会 很 耐心 听 不时 还会 一点 反馈 感觉 一个 人 自言自语 老师 说 大部分 都 老生常谈 东西 倾诉 会 放松 慢慢 平静下来 至少 人 放空 临走前 问 一个 情感 寄托 会 好 一点 老师 说 人 都 一个 寄托 期待 太高 后续 大概 学期 都 去 做 心理咨询
1,发泄 负 能量 好像 事情 积攒 东西 妈妈 等到 所有人 都 走 只能 去 找 小卖 铺 叔叔 借 手机 妈妈 说 不接 爆发 学校 走到 家 20 分钟 路程 想 好多 我活 好 累 真的 累到 要死 越来越近 中考 日期 越 全文
1,学期 我学 都 忘 记不住 学医 好想哭 不 记不住 好难 心慌
1,一夜 没睡 前一天 晚上 白天 一共 睡 13 小时 老妈 生日
1,一夜 未眠
1,一整天 都 很 迷茫
1,一支 榴莲 海底 听 几百遍 没 抑郁 只 这是 首特 伤感 歌 听 没 感觉 伤感 反而 感觉 心灵 安慰 凤凰 传奇 版本 正常人 听 原版 留给 一支 榴莲
1,吐个 不停 好 难受
1,哭 哭 老天爷 不想 再活 一年 一月 一秒 都 不行
1,医生 说 试试 两天 药 慢慢 停掉 停药 第一天 失眠
1,医院 心理医生 好像 救赎 下 深渊
1,药物 快乐 真是假
1,沙发 上 睡 一夜 完
1,有钱 想 买 套房 再来 只 小狗 地上 铺满 毯子 百无聊赖 床上 滚 地上 再 上爬 床上 发病 心脏 疼 厉害 抱 小狗 睡 狗窝 剩下 几十年 光景 压缩成 几年 人生 无 意义
1,周末 去 外地 上课 停掉 心理咨询 不 才能 停药 希望 都 麻麻 说 好
1,老师 总说 成熟 沉默寡言 从不 惹麻烦 才 发现 都 最天 真的 一个 都 看透 看透 只配 黑暗 里 沉沦
1,没 胃口 两天 暴饮暴食 感觉 吃 都 吃不饱
1,我定 很多 人生目标 去 英国大学 学医 神经外科 医生 赚大钱 哈哈哈 都 不 一个 人 生活 方向 真的 玩蛋
1,我妈 死活 不让 看 医生 不想 看 说 有病 早点 去 看 早 放弃
1,通通 错 都 怪 妈 身上 觉着 抑郁 荒谬 从始至终 都 作 妈 惯着 脾气 都
1,抑郁 久 哭 都 成 一种 奢侈
1,抑郁 好 战战兢兢 如履薄冰 气质 与生俱来 疑心病
1,抑郁 逃避 借口
1,酒石 停 几天 药盒 找到 唯一 一颗
1,受过伤 裹 很 严实 害怕 再次 伤害 面对 挫折 战胜 挫折
1,永远都是 忽略 抛弃 一个 也许 确实 很 差劲 很 令人讨厌 身边 人 都 讨厌 就算 不 讨厌 人 喜欢 接受
1,经历 温馨 提醒 计划 想吞药 患者 生活 活 很 痛苦 想尽 方法 控制 祝 告诉 春天 会 会 熬过去 千千万万 吞药 先不说 洗胃 痛苦 一个 2 粗 管子 插 胃里 时 感受 很 痛苦 感觉 中途 难受 呼吸 很 困难 只能 嘴大口 大口 呼气 咽 口水 都 好 痛 会 反胃 想 吐 洗胃 时 医生 会 注射 液体 管子 里 洗 会 想 吐 想 挣扎 身上 都 插 监护仪 一洗 差不多 胃里 东西 都 洗完 最 痛苦 晚一点 药物 吸收 会 副作用 第二个 小时 副作用 呼吸困难 身上 颤抖 说不出 话 吃 利培酮 管子 还 取出 呕吐 大概 6 小时 父母 医生 交流 说 拔管 才 好 一点 还 没 拔管 嗓子 特别 痛 呼吸 都 很 难 特别 特别 困 想 睡觉 睡不着 吃 东西 都 吃 不 拔 完管 起码 还 说好 一点儿 但会 头痛 头晕 第二天 才 好转 难 睡着 说 好好 活着 很 辛苦 会 熬过去
1,游戏 里 外国人 说 起因 遵守 约定 玩 感觉 很 内疚 道歉 说 真的 感觉 很 触动 世界 多一点 善语 相向 人
1,宝宝 喝药 生理期 乱掉
1,有病 真的 有病
1,吃 过伏 硫西汀 想 问问 效果
1,真的 想 内耗 一点点 小 事情 内耗 会 别人 聊天 聊着 聊着 对方 走 只 剩下 一个 人 演 独角戏 内耗 会 别人 言论 内耗 会 想 告诉 好 少 点 内耗 发现 这句 话 身上 都 全文
1,担心 吃药 会 副作用 长胖 可爱 滴修 狗
1,有没有 宝宝 山东 精神 卫生 中心 住院 住 过院
1,有没有 宝宝 山东 精卫 看过 初三 想 去 换个 医院 想
1,有没有 犯病 脑子 想 东西 停不下来 躺 床上 闭上眼睛 有时候 都 镇压 好 烦恼
1,有没有 人 心动 过缓 感觉 都 心动过速 难道 窦性心 动过 缓
1,有没有 友友 会 脑子 控制 不住 胡思乱想 有种 类似 妄想
1,一瞬间 一个 人 一句 话 泼 一盆 凉水 唰 从头 冷到 脚 语言 东西 表达 爱意 无力 表达 伤害 却 锋利
1,有人 吃 米 氮 平片 睡 前 四分之一 吃 完 迷迷糊糊 睡眠 断断续续 很 轻 很 浅 感觉 快要 醒 醒 状态 好困 头晕
1,祛 疤膏 推荐 性价比 高 手段 真服了 越 看 越 恶心 看 胳膊
1,会 在意 想 妈 都 不在意 感受 再 委屈 只能 憋着
1,有时候 感觉 不配 病 没 经历 大事儿 校园 霸凌 不算 没 钱 真的 怀疑 装 真的 想 死 都 两回
1,有时候 身体 感觉 好像 经历 地震
1,有时候 灵魂 带来 伤害 减轻 身体 疼痛
1,东西 命里 努力 都 没用
1,东西 命里 不该
1,一点 难过
1,有种 全世界 抛弃 感觉 妈妈 催婚 还要 熬过 夜晚 度过 春秋 既定 轨道 麻木 脸 沉重 腿 都 居无定所 颠沛流离
1,不 干活 不 睡觉 明天
1,快要 高考 时间 回想 去年 都 不 熬过来 痛苦 真的 难以 言喻 明明 久 好像 还活 去年 时间 线里 莫名 感到 压抑 也许 那句话 说 接受 别人 眼中 都 优秀 如今 这般 模样 接受 只能 接受
1,发病 哭 想 下刀 那一刻 想 五一 假 见 我担 丢开 一件 好事 少些 疤
1,发病 这破病 好
1,好 想 死 错误 韶关 0423 乐广 高速 4 京 港澳 高速 交叉口
1,妈妈 住在一起 压制 好处 不用 吃 外卖 吃饭 妈妈 莫名其妙 不 理睬 有时候 说出 很 说完 后悔 空间 唯一 躲 厕所 哭 一个 好消息 一个 坏消息 落差 好像 难受 道理 都 懂 难受
1,回到 郁郁寡欢 状态 实在 难 捱
1,活 太棒了
1,焦虑
1,不想 干 很 累 很烦 焦虑 暴饮暴食 体重 惨不忍睹 所有人 都 减肥 一点 不想 在乎 体重 胖 心情 不好 动力 好像 抽走 快乐 一点 生命力 回来 一点 胖 没关系 就算 单身 没关系 抑郁 好 吃药 吃 吃 好多年 不好 个头 真的 不想 干
1,哭醒
1,最 近几个月 有时候 失眠 死活 睡不着 有时候 超级 嗜睡 一个 无眠夜 失眠 睡不着
1,失眠
1,枯燥 无聊
1,想 时速 八十 公里 爬行 创 亖 街上 所有人
1,一个 人 舍不得 爸妈 感觉 好 委屈
1,想到 学校 里 事 才 同学 都 好 该死
1,想起 事 后悔 疯狂 喊 疯狂 哭 疯狂 扇 巴掌 疯子 真 希望 重来 弥补 错误 可真 东西 活该 都 报应
1,想 不 忘掉 难受 忘 遗憾 快 疯
1,过年 却 不 很多 事情 憋 喘 气来 想 解决 却 无能无力
1,情绪 吞噬 黑暗 包裹 人能 救 有点累 撑不下去
1,一夜 没睡 还 腰疼 胃疼
1,我妈 一句 话 心情 跌 谷底 太 敏感 太 脆弱
1,床上 躺 刷 视频 玩 游戏 明明 没 活动 却 感觉 疲惫 过多 忧伤 淡淡的 失望 无奈 只为 颓废 无能
1,做 噩梦 梦见 复学 学校 同学 都 不 喜欢 做 都 不 误解
1,右佐匹 克隆 好苦
1,雨变 大 全身 都 湿透 雨滴 落 身上 好 享受
1,死亡 不过如此 世界 黑漆漆 光源
1,还 活着 曾 目标 曾 努力 奋斗 副 样子 着实 人 厌恶 短短 一年 内 优等生 一个 废物 一个 神经病 真 可悲
1,想 死 轰轰烈烈 异常 平静
1,原生 家庭 真的 和解 父母 会 改变 或许 大 概率 发生 身上 只能 逃离 无意 提起 小时候 父亲 揍 事情 话 没 说完 就要 走 说 好 我爸 不让 非得 坐在 说 这事 聊 说 揍 堂姐 堂姐 手 都 揍 肿 算得了 说 家家 不 都 教育 孩子 我妈 帮 说话 说 成 挑唆 矛盾 说 故意 提醒 我要 恨 问 想想 这事 还 不 说 不 摔 门 走 别人 挨揍 意味着 挨揍 时代 抓 封建 思想 别人 做 都 别人 家 小孩 被宠 保护 别人 家 父母 会 尊重 孩子 正确 引导 孩子 看不见 找 一个 开脱 理由 羡慕 同学 孩子 都 结婚 都 爷爷 指责 同学 家 孩子 30 才 踏入 20 行列 生 晚 指责 结婚 生子 好 一点 事情 拉下去 刚 做 完 心理咨询 本来 开心 很多 非得 刺激 唯一 好事 终于 反抗 一句 不 很 窝囊 摔 门 好多 我会 慢慢 成长 逃离 地方 逃离
1,越 焦虑 越割 越割 越 焦虑 奶奶 催促 一句 写 作业 躲 被子 里 发抖 停不下来 对不起 好 想 完美
1,越来越 真实感
1,越来越 自信 都 莫名其妙 不 开心 情绪低落
1,人 相处 越 见到 人类 表面 美好 面具 下 丑陋 害怕 讨厌 欺骗 只能 选择 独自一人 去 面对 说 一种 逃避 想开 点人 都 要死 都 个人利益 勾心斗角 一天到晚 吃喝 睡 猪 都 逃不开 宰 命运 幻想 破灭 爱 希望 正因 稀有 才 会 歌颂 刘学州 死 这方面 原因 世界 不 小说 描述 美好 大多 都 面对 残酷 现实 学生 时代 美好 抵消 成年 后 工作 竞争 残酷 都 要死 不 开心 做个 痛苦 清醒 不愿 做个 快乐 小 傻瓜
1,越 睡 越 精神 明天
1,再 不 吃药 噶 去 不了 医院 买药
1,再 不 挂 电话 眼泪 掉下来
1,再 一年 时间 机会 还 经济 独立 去 死 社恐 太难
1,再见 咯 死 都 不 解释
1,再 忍忍 或许 明天 死
1,再 治疗 学业 压力 生活 打击 会 接踵而至 足够 勇气 没 活着 这是 上帝 出生 时 注定 人 人生 路上 设置 难关 或者说 上帝 打算 我活 多么 久 活 多么 精彩 想 家人 带来 困扰 身边 都 带来 困扰 消失 挣扎 都 徒劳 都 可笑 注定 不想 上帝 作 斗争 没有勇气 看着 疯狂 不想 善良 心软 人 事情 只 想着 别人 消失 只能 出气
1,超话 见 很多 朋友 发 康复 案例 想想 道别 故事 不 帮到 算是 记录 记忆 一个 很 敏感 小孩 肠胃 差 紧张 呕吐 心悸 休克 晕倒 家长 都 身体 差 没 人 当回事 真的 不 全文
1,连续 12 天 作息 后 失眠 哈哈哈哈 哈哈哈
1,过节 躺 过节
1,生活 还 挺 有意思 想 结束 之间 反复 徘徊
1,睡眠 好转 半个 月 后 失眠
1,外面 玩 一整天 很累 一点 睡意 都 哭 不 哭 醒来 眼睛 会 很 肿
1,无数个 睡不着 夜晚 一遍 一遍 想 究竟 一步 走错 活成 幅 样子 坚强 外表 下 隐藏 诉说 心声 别人 体会 不到 心酸 感受 没 人 体会 最 懂 眼角 泪 明白 一路 走来 风太大 吹 满眼 都 泪 最 无助 想 找个 倾诉 对象 却 不 找 才 发现 背后 空无一人 都 懂事 无能为力
1,学校 不 开心 坐 好像 倾诉 别人 问 不 干嘛 嘴笨 内向 说话 直不懂 人情世故 维护 关系 好像 缺点 都 身上 说实话 校生 园活 好像 快乐
1,学校 不 没人 帮 请假 只能 硬撑 刚 下课 头晕眼花 胃 不 舒服
1,学校 想 三楼 跳下去 班主任 安慰 回家 上课 努力 克制 不去 窗户 边往 下 看用 疼痛 掐 手 掐 破 一层 皮
1,雨 里 跑 两千 八百米 七圈 四百米 洗澡 抽筋 三次 洗澡 完穿 上 校服 扣 扣子 好 可笑 先是 体育课 跑 八百 拖堂 五分钟 操场 跑 教学楼 去 音乐室 音乐 老师 骂 拖沓 八分钟 下课 拖回来 托管 去 操场 晚 校长 广播 里 骂 还 罚 八百米 说 老师 拖堂 去 解决 解决 操场上 自杀 算是 解决 校长 发烧 感冒 一周 星期五 雨 里 跑 三个 八百多 解决 校长 人生 到底 全都 学校
1,家庭 不 抑郁 怪 不 抑郁 抑郁
1,早点 结束 真的 累
1,早上 一顿 药量 还 不算 中药 汤子
1,早晚 都 要死 幸 不 幸福 都 无所谓 年 真的 太痛 凌晨 一两 点 天花板 四五点 太阳 一支 支 燃烧 烟
1,早醒 凌晨 醒 睡不着 特别 累
1,才 不 痛苦
1,
1,才能 不 吃药 情况 下 睡着 没 酒
1,会 睡不着
1,会 累
1,过成 样子
1,每次 都 会 做出 后悔 事情 罪恶感
1,才 死 求求 死 好
1,累 干劲 都 去
1,张小娴 拥抱 里 说 抱抱 抱抱 无人知晓 孤独 抱抱 难以 言说 酸楚 抱抱 一个 人 咬牙 前行 坚强 不 说 不 做 紧紧 拥抱着 成年人 孤独 点
1,长大 感觉 大概 没 想 人 丢 没 心想 东西 拥有 快乐
1,找 兼职 冲给 实验 真的 累坏 犯病
1,这场 马拉松 我要 撑不住 患病 五年 确诊 三年 用药 两年 还 学成 中医 还 读研 还 治病救人 还 中华 诗词 学会 还 出版 诗集 还 拥有 柜子 汉服 还 朋友 去过 西塘 汉服 节 还 修道 还 学会 术数 还 考 道士 证 还 练 成 书法 还 卖过 做 簪子 还 赚过 钱 还 拥有 事业 还 住 小 窝 还 旅过 游 还 出过 省 还 体会 过舍 曲林 停药 感觉 想 大概 再 熬 一熬
1,段时间 想 被车撞 死 死 透透 朋友 留点 念想
1,病 真的 反反复复 折磨 时好时坏
1,家 烂透
1,世界 好 奇怪 想 活着 人 死 里 逼 劝 想 死 人 好好 活着 所有人 都 半死不活
1,世界 感同身受 内心 悲伤 有多深 别人 永远 触碰
1,世界 上 真的 感同身受 冷暖自知
1,世界 真的 没 好人
1,天 真的 很 适合
1,五一 好 枯燥
1,专业 转 身心俱疲 笑 死 作
1,难受 想 哭哭
1,几天 吃药 不太 规律 睡眠 变差 心情 不太好 没什么 精力
1,几天 解离 症状 频繁 不 到底 怎么回事 本来 很 长时间 很少
1,几天 嗜睡 好 头疼
1,两天 好 难受 想 哭 哭 想着 死 会 好受 些
1,两天 睡觉 做 噩梦 我服
1,日子
1,一切都是 活该
1,哭 睡 睡不醒 哭 不 完
1,真 老子 折磨 死 开心
1,真的 躯体 化 一下子 弄死 我别 一下一下 折磨
1,真的 轻易 判定 一个 人 真的 发现 黑化 小孩 非主流 真的 一个 朋友 14 岁 朋友圈 空间 都 发 黑白 自拍照 文案 一条 照片 照片 对比 配文 眼神 光 还 不 上学 抽烟 喝酒 乍一看 都 非主流 黑化 小学生 抑郁 好多年 精神病院 住院部 病区 年纪 最小 做 最 家属 陪床 医学生 病情 轻 不用 做 照顾 表面 文静 小女孩 两条 胳膊 都 疤 说 割腕 跳楼 吞药 跳河 上吊 都 试过 妈妈 有病 爸爸 重男轻女 弟弟 上 小学 没人管 初中 还 没 上 完 真的 感觉 无力 说 想 告诉 轻易 判定 一个 人 真的 抑郁 太难 判断 小孩 非主流 黑化 小孩 世界 很小 很 脆弱
1,真的 不 活着 意义 一顿 都 吃饱 照样 瘦 不 好 一段时间 天天 早醒 型 失眠 没 人 当回事 说 正常人 正常人 天天 凌晨 醒 再也 睡不着 痛苦 轻描淡写
1,真的 人际关系 好烦 明明 都 没 做 别人 冤枉 告诉 老师 同学 早恋 老师 发现 对方 怀疑 举报 实际上 都 说 真的 好烦
1,真的 够 够 破 家庭 恶心 无 语
1,真的 好 绝望 不 开心 去 站 刷 搞笑 视频 好不容易 开心 爸 一顿 骂 高三 学生 样子 逼成 重焦 重抑 还要 去 跳
1,真的 好累 郁期 10 天 还 没完没了
1,真的 好 难过 好 寂寞 心底 涌上来 失落 淹死
1,真的 好 想 好 想 养条狗 狗 毕竟 实在 太 孤单 都 怕 照顾 不好 房子 太小 抑郁 哈哈哈
1,真的 很 难受 很 难受
1,真的 很 怕疼 死亡 恐惧感 不得不 选择 死亡 隔三差五 犯病 工作 养活 悲观 思维 不得不 忍受 死亡 带来 痛苦 忍受
1,真的 很 讨厌 冷 下雨 天气
1,真的 很 想 哭
1,真的 很 想 再 春节 可惜 不到
1,真的 会治好
1,真的 活不下去 不 怕疼 睡梦中 死去 好
1,真的 绝望 那种 清醒 堕落 感觉
1,真的 快 撑不下去 死亡 只 一念之间
1,真的 正常人 生活 越来越 远 有时候 会 很 开心 笼罩着 一层 不 开心 感觉 经常性 很难 情绪稳定 零 社交 工作 对人 感到恐惧 只能 待在家里
1,真的 神金西西 吃药 不 小心 胶囊 扣烂 哭 哭 完 大沙笔 吃药 没见 睡 好 越来越 烦躁 还 做 噩梦
1,真的 特别 喜欢 吃 完 安眠药 后 药效 发作 却 不 睡觉 感觉 一点 焦虑 抑郁 都
1,真的 想 死
1,真的 撑不住 真的 不
1,真累 明明 病 还要 装 出 一副 正常人 样子 早醒 躺 干 闹钟 响 爬起来 晚上 入睡 困难 周而复始 真绝 吃 药 一分钟 不差 吃 还 德性
1,真忍 不了 那种 医院 看 别人 到底 人 还 妈 精神病院 看 恐惧 处方 单去 交费 时 盯 我到 药窗 拿药 还 妈 看着 惊讶 手里 药 感兴趣 都 还好 还 规划 没 素质 一兜 药会 医生 诊室 时 医生 打趣 说 孩子 还 吃 多药 忘 爹 诊室 里 坐 复诊 患者 都 没 看 患者 健全 逼 瞟 上
1,阳光明媚 好 天气 心情 却 糟糕透顶
1,有病
1,有病 感觉 真的 不 睡 两天 三天 不 洗澡 家里 能乱成 狗窝 懒 明天 早起 发呆 不 洗澡 不 刷牙 不 洗脸 一身 臭烘烘 明天 接下来 一周 一堆 破事 真的 很烦 很烦 一个 人 真的 拒绝 别人 靠近 远离 关系 堕落 成 样子 很 可怕 样子 胖成 病 吃药 不好
1,正常人 装多 还 真 能行 致
1,都 正常人 放假 回来 不 感冒 胃 不好 停 一段时间 药 药量 加上 去
1,放假 感冒 停药 几天 心情 不好 晚上 脾气 暴躁 吃药 吃 十几天 难受 呼吸困难 心悸 失眠 症状
1,放假 去 医院 医生 说 恢复 特别 好 段时间 很 莫名其妙 变得 暴躁 生气 控制 不住 发脾气 想到 事情 脾气 一会儿 哭 不停 头晕 头昏脑胀 恶心 想 吐 哭 停不下来 一会儿 发脾气 控制 不住 真的 不
1,几周 正常人 感觉 好 晚上 难受 心跳 快 慌 真的 服
1,胃部不适 很水 都 喝 不了 喝下去 吐出来 请假 回家 在家 吃 药 吃饭 不 吐 胃口 开 学校 吐 真的 不 学校食堂
1,知识 不进 脑子 只能 抄 才能 停药
1,再 人 感觉 一个 人 笑 心 却 狠狠 哭
1,只想 单独 开助眠 药 不 医院 不 开 很久没 去 开药 医生 会 提供 证明
1,精神病院 住院 真的 很 有趣 很 刺激 当初 真的 越住 越 不想
1,中午 没 睡着觉 惊恐 发作 本来 想 晚上 吃 安眠药 睡着 舍友 说别 吃 药好 会 依赖性 同桌 看 心情 不好 带 偷吃 桂圆 满满 一大 盒 说 吃 上课 还 塞 一大 藏书 偷偷 吃 很甜
1,重度 一种 沉重 精神负担 人 心灵 变得 如同 压着 巨石 患者 陷入 深深 自我 怀疑 无助 中 如同 被困 无法自拔 泥潭
1,重度 抑郁
1,重抑 重焦 4 月 就要 复学
1,周三 复查 不行 休学 不想 上学
1,状态 回来 加油
1,坠入 深渊 那一刻 救赎 绝望
1,自残 想 死 想 身体 伤 痛来 麻痹 精神 上 痛
1,自打 年前 发病 至亲 猝然 长逝 再 无 心思 打理 绿萝 枯萎 才 想着 不该 陪 丧 花 一个多 小时 修剪 都 还 顽皮 发现 少 胭脂 云 死 掉
1,自渡且 渡人 石家庄 河北 中医学院 杏苑 校区 图书馆
1,自杀 不想 承受 生命 重量 不想 承受 内心 重量 选择 自杀 人 才 选择 重生 一世 活成 想要 样子 下辈子
1,自杀 无 遗书 无言 死 无限 活
1,自杀 明白 离开 世界 这令 生命 变得 承受 毁掉
1,自杀者 一辈子 值得尊敬 感到 黑暗 胜过
1,总会 莫名其妙 流眼泪
1,人 讨厌
1,同情 别人 同情 同情 不 不 才 不 人 同情 不 明明 神经病 说 很棒 很棒 胡说 考试 都 考 不好 人 烂透 人 烂透
1,总以为 很 快乐 很 乱七八糟 事情 弄 很 难过 分明 无关 无数次 告诉 看 开点 小心眼 话 毫无作用 日子 算 天过 难受 真的 很 不 舒服 月 竟然 一个 星期 不 舒服 心情 很 寻常 事情 都 会 震惊 好久 抑郁 感觉 柄 达摩 克利斯 剑 悬在 头顶 大概 这周 没法 去 心理咨询 缘故 很 开导
1,总有一天 会 明白 委屈 消化 故事 不用 逢 人 讲 理解 几个 人 只会 站 立场 偷看 笑话 做 秘密 藏 一步 一步 变得 越来越 强大
1,归宿 只能 精分 转 双向
1,路上 走 走 会 陷入 一种 人生 虚无主义 之中 感觉 变好 感觉 好像 那么点儿 时间 不
